dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
africa,NCT02498522,Effect of Metformin on Early Pregnancy Loss in Pregnant Women With Polycystic Ovarian Syndrome,OTHER,PREVENTION,DRUG,166,2,1,1,Egypt,Egypt,True,2015-08-01,2016-02-01,2016-05-19,184,108,19,True,True,False,False,,,,96.39,45.69,54.2,70.21
africa,NCT05747599,Adapting and Testing a Behavioural Intervention to Prevent FASD and Adverse Infant Outcomes,OTHER,PREVENTION,BEHAVIORAL,48,2,1,1,South Africa,South Africa,True,2023-04-01,2024-09-10,2025-02-10,528,153,61,True,True,False,False,,,,85.0,51.53,48.5,65.99
africa,NCT04262882,Multilevel Family Planning Intervention,OTHER,PREVENTION,BEHAVIORAL,160,2,2,1,Uganda,Uganda,True,2021-05-14,2022-05-03,2023-11-15,354,561,465,True,True,True,False,36564852|38835058,,,71.66,44.3,41.83,56.12
africa,NCT03836625,CareConekta: A Smartphone App to Improve Engagement in HIV Care,OTHER,HEALTH_SERVICES_RESEARCH,OTHER,200,2,1,1,South Africa,South Africa,True,2019-12-09,2021-11-30,2023-02-01,722,428,321,True,True,True,False,32164771|36414286|37204838|37347521,,,67.5,44.44,39.75,53.88
africa,NCT02163447,Reducing the Burden of Malaria in HIV-uninfected Pregnant Women and Infants,OTHER,PREVENTION,DRUG,300,5,1,1,Uganda,Uganda,True,2014-06-23,2018-05-14,2018-11-14,1421,184,18,True,True,True,True,26962728|27566109|28968782|28982374|29547881|30016328|30628574|31173649|31307883|33020153|34795281,26962728|27566109|28968782|28982374|30016328|30628574|31307883,,59.45,35.55,43.73,47.94
africa,NCT04408729,PrEP My Way: A Novel PrEP Delivery System to Meet the Needs of Young African Women,OTHER,PREVENTION,OTHER,150,2,1,1,Kenya,Kenya,True,2020-08-10,2022-10-26,2024-05-24,807,576,90,True,True,False,False,,,,53.61,46.66,32.8,47.02
africa,NCT03892915,Maternal Depression Treatment in HIV,OTHER,TREATMENT,COMBINATION_PRODUCT,391,2,1,1,Uganda,Uganda,True,2019-07-08,2023-08-31,2024-11-15,1515,442,109,True,True,True,False,31277180|36127627|36907945|39301593|40018208|40188047,,,46.11,40.55,29.05,40.75
africa,NCT02245022,Safety and Pharmacokinetics of Dolutegravir in Pregnant HIV Mothers and Their Neonates: A Pilot Study,OTHER,TREATMENT,DRUG,60,2,2,2,South Africa | Uganda,South Africa | Uganda,True,2017-03-14,2018-12-06,2025-09-04,632,2464,914,True,True,True,False,31539371|33346335,,,39.73,47.5,25.86,39.68
africa,NCT03989102,"Safety, Immunogenicity, and Protective Efficacy of Radiation Attenuated Plasmodium Falciparum NF54 Sporozoites (PfSPZ Vaccine) During Malaria Transmission Season in Healthy African Adult Women of Childbearing Potential in Mali",NIH,PREVENTION,BIOLOGICAL | OTHER,324,3,1,1,Mali,Mali,True,2019-07-03,2022-04-05,2024-03-19,1007,714,19,True,True,True,False,19946222|23929949|28216244|34801112|35999221|36475905|39153490,,,44.17,37.78,28.09,38.72
africa,NCT02915367,Monitoring Pre-exposure Prophylaxis for Young Adult Women,OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,348,2,2,1,Kenya,Kenya,True,2016-12-21,2020-03-20,2022-04-08,1185,749,96,True,True,True,False,33662265|35147580,,,36.66,39.3,24.33,35.12
africa,NCT01691768,Implementation Effectiveness and Safety of Tenofovir Gel Provision Through Family Planning Services,NETWORK,PREVENTION,DRUG,372,2,2,1,South Africa,South Africa,True,2012-10-01,2015-04-01,2019-11-26,912,1700,88,True,True,True,False,20643915|25527071|28348164,,,30.55,39.03,21.27,31.66
africa,NCT01298596,Cryotherapy vs. LEEP to Treat Cervical Intraepithelial Neoplasia (CIN) 2/3 Among HIV-positive Women,OTHER,TREATMENT,PROCEDURE,400,2,1,1,Kenya,Kenya,True,2011-06-01,2016-10-01,2019-10-18,1949,1112,105,True,True,True,False,29272368|31638680|34351377,,,18.05,40.14,15.03,25.18
